*******Working on gbb20001000

 ====== Comparing SRGbbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
                                                    all :  28627.00  28627.00  0.00
                                        Derivation Skim :  80.90     80.90    -0.00
                                     Size(leptons) == 0 :  80.80     80.00     1.00
               size(jets) >=4 ? dphi4jmin4 >= 0.4 : ALL :  61.39     61.10     0.48
               size(jets) ==3 ? dphi4jmin3 >= 0.4 : ALL :  60.86     61.10    -0.40
               size(jets) ==2 ? dphi4jmin2 >= 0.4 : ALL :  60.84     61.10    -0.43
               size(jets) ==1 ? dphi4jmin4 >= 0.4 : ALL :  60.84     61.10    -0.43
              size(bjets) >=3 ? mtminbjets3 > 130 : ALL :  58.33     56.60     3.06
              size(bjets) ==2 ? mtminbjets2 > 130 : ALL :  56.48     56.60    -0.21
              size(bjets) ==1 ? mtminbjets1 > 130 : ALL :  55.76     56.60    -1.49
                                             MET >= 550 :  32.21     35.69    -9.76
                                          pT(jets) > 65 :  32.21     35.69    -9.76
                                            meff > 2600 :  7.51      10.13    -25.85

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  28627.00  28627.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) == 0 :  99.88     98.89     1.00
               size(jets) >=4 ? dphi4jmin4 >= 0.4 : ALL :  75.98     76.37    -0.52
               size(jets) ==3 ? dphi4jmin3 >= 0.4 : ALL :  99.13     100.00   -0.87
               size(jets) ==2 ? dphi4jmin2 >= 0.4 : ALL :  99.97     100.00   -0.03
               size(jets) ==1 ? dphi4jmin4 >= 0.4 : ALL :  100.00    100.00    0.00
              size(bjets) >=3 ? mtminbjets3 > 130 : ALL :  95.88     92.64     3.50
              size(bjets) ==2 ? mtminbjets2 > 130 : ALL :  96.83     100.00   -3.17
              size(bjets) ==1 ? mtminbjets1 > 130 : ALL :  98.71     100.00   -1.29
                                             MET >= 550 :  57.76     63.06    -8.40
                                          pT(jets) > 65 :  100.00    100.00    0.00
                                            meff > 2600 :  23.32     28.38    -17.83

 ====== Comparing SRGbbM :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
                                                    all :  28627.00  28627.00  0.00
                                        Derivation Skim :  80.90     80.90    -0.00
                                     Size(leptons) == 0 :  80.80     80.00     1.00
               size(jets) >=4 ? dphi4jmin4 >= 0.4 : ALL :  61.39     61.10     0.48
